n00004475	有机体,存在
n02234848	德国小蠊,巴豆的bug,crotonbug,水虫,德国小蠊
n02235205	巨型蟑螂
n02236044	螳螂,螳螂
n02236241	螳螂,螳螂,螳螂虔诚地
n02236355	缺陷
n02236896	半翅目昆虫,缺陷,半翅目,半翅目昆虫
n02237424	叶子虫,盲蝽
n02237581	盲蝽蟓,盲蝽,衣壳
n02237868	四株蝽,四叶蝽,poecilocapsus lineatus
n02238235	绿盲蝽
n02238358	牧草盲蝽,美国牧草盲蝽
n02238594	网蝽
n02238887	长蝽,长蝽
n02239192	长蝽,长蝽
n02239528	缘蝽,昆虫
n02239774	南瓜虫,南瓜缘蝽
n02240068	缘蝽,叶足虫
n02240517	臭虫,臭虫,臭虫,温带臭虫
n02241008	仰泳蝽,Notonecta蛤
n02241426	真正的bug
n02241569	半翅的昆虫
n02241799	水虫
n02242137	巨型水蝽
n02242455	水蝎子
n02243209	艄公,船的bug
n02243562	水黾,池塘滑冰,水上滑板
n02243878	公共池塘滑冰,Gerris lacustris
n02244173	猎蝽,猎蝽
n02244515	吸血昆虫,锥蝽,吸血昆虫的bug,大臭虫,接吻虫
n02244797	车轮虫,轮背猎蝽
n02245111	萤火虫
n02245443	棉蝽
n02246011	同翅目昆虫,同翅目
n02246628	烟粉虱
n02246941	柑桔粉虱,柑桔粉虱
n02247216	温室白粉虱,温室粉虱
n02247511	甘薯粉虱
n02247655	超级细菌,烟粉虱,一品红应变
n02248062	棉花株
n02248368	蚧虫
n02248510	介壳虫
n02248887	软垢
n02249134	褐软蚧,褐软蜡蚧
n02249515	盾蚧
n02249809	圣若泽量表,梨圆蚧
n02250280	胭脂虫,胭脂红,胭脂虫
n02250822	粉蚧,多毛绵蚧
n02251067	citrophilous粉蚧,citrophilus粉蚧,粉蚧的脆弱
n02251233	桑粉蚧,康斯托克的粉蚧,康氏粉蚧
n02251593	柑橘粉蚧,桔臀纹粉蚧
n02251775	蚜虫,虱
n02252226	蚜虫
n02252799	苹果绵蚜,苹蚜,苹果蚜
n02252972	蚋,豆蚜,蚕豆蚜
n02253127	蚜虫
n02253264	桃蚜
n02253494	蚁牛
n02253715	绵蚜,绵蚜虫
n02253913	苹果绵蚜,美国病,苹果绵蚜
n02254246	阿尔德绵蚜,prociphilus tessellatus
n02254697	球蚜
n02254901	凤仙花根瘤球蚜,冷杉球蚜
n02255023	云杉瘿蚜,云杉瘿球蚜
n02255391	球蚜
n02256172	木虱,木虱,木虱
n02256656	蝉,蝉
n02257003	狗日的蝉,成飞
n02257284	十七年蝗虫,周期蝉,Magicicada septendecim
n02257715	沫蝉,沫蝉
n02257985	沫蝉
n02258198	草甸沫蝉,Philaenus spumarius
n02258508	松沫蝉
n02258629	萨拉托加沫蝉,saratogensis远大于
n02259212	叶蝉
n02259377	稻飞虱,飞虱
n02259708	角蝉
n02259987	元宵粉,龙眼鸡
n02260421	psocopterous昆虫
n02260863	书虱
n02261063	树皮虱,树皮虱
n02261419	书虱,书虱,临终关怀,书虱
n02261757	家书虱,粉茶蛀虫
n02262178	蜉蝣,ephemeropteran
n02262449	蜉蝣,蜉蝣,shadfly
n02262803	石蝇,石蝇,石蝇
n02263378	脉翅目昆虫,脉翅目昆虫,脉翅目的昆虫
n02264021	蚁狮,蚁狮,蚁狮飞
n02264232	蚁蛉,蚁狮,蚁狮
n02264363	草蛉,草蛉
n02264591	蚜狮,蚜狮
n02264885	草蛉,chrysopid,臭飞
n02265330	褐蛉,hemerobiid,hemerobiid飞
n02266050	多布森,鱼蛉,多布森飞,具角鱼蛉
n02266269	hellgrammiate,多布森
n02266421	鱼飞,鱼飞
n02266864	蜻蜓,阿尔德飞,lutaria sialis
n02267208	蛇蛉
n02267483	螳蛉
n02268148	蜻蜓
n02268443	蜻蜓,织补针,魔鬼的织补针,缝纫针,蛇的饲养,蛇医生,蜻蜓,斯基特鹰
n02268853	豆娘
n02269196	毛翅的昆虫,石蛾,石蛾
n02269340	石蛾,石蛾,石蚕蛾,石蚕蛾
n02269522	稻纵卷叶螟
n02269657	石蚕,石蚕
n02270011	缨尾目昆虫昆虫,thysanuron
n02270200	蛀虫
n02270623	银鱼,衣鱼
n02270945	衣鱼,小灶衣鱼
n02271222	跳跃的蛀虫,machilid
n02271570	thysanopter,缨翅昆虫,thysanopterous昆虫
n02271897	蓟马,蓟马,蓟马
n02272286	烟蓟马,西fusca
n02272552	葱蓟马,洋葱虱,tobaci蓟马
n02272871	蠼螋
n02273392	欧洲常见的蠼螋,地蜈蚣
n02274024	鳞翅目昆虫,鳞翅目昆虫,鳞翅目
n02274259	蝴蝶
n02274822	蛱蝶,蛱蝶,蛱蝶,蛱蝶
n02275560	黄缘蛱蝶,黄缘蛱蝶,坎伯韦尔美人蝶,丧服蛱蝶
n02275773	龟甲,蛱蝶
n02276078	画的美,维吉尼亚赤蛱蝶
n02276258	海军上将
n02276355	红将军,红蛱蝶
n02276749	白色的海军上将,隐线蛱蝶
n02276902	带状的紫色,白色的海军上将,拟斑蛱蝶
n02277094	红紫色斑点,下载线蛱蝶
n02277268	总督,黑条拟斑蛱蝶
n02277422	蝴蝶
n02277742	小环,小蝴蝶
n02278024	逗号,狸白蛱蝶,黄钩蛱蝶逗号
n02278210	贝母
n02278463	silverspot
n02278839	帝王蝶,皇帝
n02278980	紫帝,紫闪蛱蝶
n02279257	孔雀,孔雀蝴蝶,孔雀蛱蝶
n02279637	斑蝶,斑蝶的蝴蝶
n02279972	君主,帝王蝶,斑蝶,黑脉金斑蝶
n02280458	粉蝶,pierid蝴蝶
n02280649	菜粉蝶
n02281015	白色的小,菜青虫
n02281136	大白,大菜粉蝶
n02281267	南方的白菜蝴蝶,白粉蝶
n02281406	白蝴蝶,硫的蝴蝶
n02281787	细纹,灰蝶
n02282257	蓝色
n02282385	铜
n02282553	美国铜,灰hypophlaeas
n02282903	灰蝶,灰蝶
n02283077	Strymon小蜂
n02283201	飞蛾
n02283617	蜡虫,米勒
n02283951	卷叶蛾,卷蛾
n02284224	卷叶螟,卷叶螟
n02284611	茶卷叶蛾,卷叶蛾,卷叶蛾
n02284884	柑橘卷叶蛾,卷叶蛾,argyrotaenia citrana
n02285179	苹果蠹蛾,未成熟的苹果蛾,苹果蠹蛾
n02285548	毒蛾,毒蛾
n02285801	一个卡特彼勒
n02286089	舞毒蛾,舞毒蛾,舞毒蛾
n02286425	browntail,棕尾毒蛾,桑褐尾蠹
n02286654	金尾蛾,棕尾毒蛾
n02287004	尺蠖,尺蠖蛾
n02287352	尺蠖
n02287622	秋尺蠖
n02287799	尺蠖
n02287987	春尺蠖
n02288122	秋尺蠖
n02288268	测量蜗杆,尺蠖,活套
n02288789	螟,螟蛾
n02289307	蜂蛾,蜡螟,蜡螟
n02289610	玉米螟,欧洲玉米螟,玉米螟虫,欧洲玉米螟
n02289988	地中海粉螟,地中海粉螟
n02290340	烟草粉螟,可可蛾,烟草粉螟
n02290664	粉斑螟,粉斑螟蛾,干果斑螟
n02290870	葡萄蛾,figulilella干果
n02291220	谷蛾,谷蛾蛾
n02291572	谷蛾,谷蛾
n02291748	衣蛾
n02292085	衣蛾,衣蛾
n02292401	织带衣蛾,带蛾,衣蛾
n02292692	地毯蛾,织蛾,毛毡衣蛾
n02293352	麦蛾,麦蛾
n02293868	谷蛾
n02294097	昂古穆瓦蛾,麦蛾,麦蛾
n02294407	马铃薯块茎蛾,马铃薯块茎蛾,splitworm,马铃薯块茎蛾
n02294577	马铃薯块茎蛾,马铃薯块茎蛾
n02295064	夜蛾,夜蛾,虎蛾
n02295390	小地老虎
n02295870	翼下
n02296021	红色的翼下,裳夜蛾属nupta
n02296276	鹿角虫,cerapteryx病菌
n02296612	棉铃虫蛾,棉铃虫齐亚
n02296912	行军虫,chorizagrotis auxiliaris
n02297294	粘虫,粘虫
n02297442	粘虫,粘虫,粘虫
n02297819	甜菜夜蛾
n02297938	甜菜夜蛾,甜菜夜蛾
n02298095	草地贪夜蛾
n02298218	夜蛾,草地贪夜蛾
n02298541	天蛾,鹰蛾,天蛾,狮身人面像蛾,蜂鸟蛾
n02299039	烟草天蛾
n02299157	烟草天蛾幼虫,番茄蠕虫,烟草天蛾
n02299378	番茄天蛾
n02299505	番茄天蛾,马铃薯虫,番茄天蛾
n02299846	骷髅蛾,骷髅天蛾
n02300173	蚕蛾,蚕蛾蛾,蚕蛾
n02300554	家蚕蛾,家蚕蛾,家蚕
n02300797	蚕
n02301452	天蚕蛾,天蚕蛾
n02301935	皇帝,皇蛾,土星Pavonia
n02302244	帝王蛾,蚕蛾的鹰
n02302459	亦称巨蚕蛾,蚕蛾
n02302620	蚕,天蚕,野生wilkworm
n02302969	飞蛾,月形天蚕蛾
n02303284	伞树科,天蚕蛾,刻克罗普斯蚕蛾
n02303585	小桕天蛾,眉纹天蚕蛾,沃克萨米亚
n02303777	臭椿蚕,眉纹天蚕蛾
n02304036	IO蛾,巨斑刺蛾
n02304432	多音天蚕,蚕蛾
n02304657	柞蚕蛾,柞蚕
n02304797	柞蚕,野蚕,柞蚕丝,罗缎,柞蚕,印度柞蚕
n02305085	大柏天蚕蛾,库斯阿特拉斯
n02305407	灯蛾,灯蛾毛虫
n02305636	灯蛾
n02305929	朱砂,千里光蛾,callimorpha jacobeae
n02306433	lasiocampid,lasiocampid蛾
n02306825	枯叶蛾,艾格
n02307176	帐篷卡特彼勒蛾,东部天幕毛虫
n02307325	帐篷卡特彼勒
n02307515	帐篷卡特彼勒蛾,森林天幕毛虫
n02307681	森林天幕卡特彼勒,森林天幕毛虫
n02307910	垂饰,枯叶蛾
n02308033	大卡特彼勒
n02308139	美国白蛾
n02308471	美国白蛾蛾
n02308618	美国白蛾
n02308735	美国白蛾,美国白蛾
n02309120	美国白蛾的花园,草地similalis
n02309242	龄
n02309337	卡特彼勒
n02309841	玉米螟,欧洲玉米螟
n02310000	棉铃虫
n02310149	棉红铃虫,gelechia铃虫
n02310334	玉米穗,棉铃虫,番茄夜蛾,烟青虫,vetchworm,棉铃虫齐亚
n02310585	菜青虫,菜青虫
n02310717	灯蛾,灯蛾卡特彼勒
n02310941	灯蛾毛虫
n02311060	幼虫
n02311617	若虫
n02311748	柳叶状
n02312006	蛴螬
n02312175	蛆
n02312325	皮衣
n02312427	蛹
n02312640	蛹
n02312912	意象
n02313008	女王
n02313360	帚虫
n02313709	苔藓虫,外肛亚纲动物,海垫,海苔,苔藓动物
n02315487	腕足动物,灯具外壳,腕足动物
n02315821	花生蠕虫,星虫
n02316707	棘皮动物
n02317335	海星,海之星
n02317781	脆的明星,脆的明星,蛇星
n02318167	篮球明星,篮子鱼
n02318687	Astrophyton人参果
n02319095	海胆
n02319308	食用海胆,海胆
n02319555	沙钱
n02319829	心形海胆
n02320127	海百合
n02320465	海百合
n02321170	羽星,毛头星
n02321529	海参,海参
n02322047	海参,参果
n02322992	重齿亚目
n02323449	兔,啃的哺乳动物
n02323902	兔,兔科哺乳动物
n02324045	兔子,康尼,兔
n02324431	兔子的耳朵
n02324514	兔子
n02324587	兔子,小兔子
n02324850	欧洲兔子,旧世界的兔子,家兔
n02325366	木兔,棉尾兔,棉尾兔
n02325722	东部棉尾兔,染中仅对美洲白尾兔
n02325884	沼泽兔,canecutter,沼泽兔,Sylvilagus水生
n02326074	野兔,沼泽兔,Sylvilagus沼泽
n02326432	野兔
n02326763	小兔
n02326862	欧洲野兔,草兔
n02327028	兔崽子
n02327175	白尾兔,白尾兔,天兔座townsendi
n02327435	黑尾长耳兔,加利福尼亚兔
n02327656	北极野兔,北极野兔,北极兔
n02327842	雪兔,雪鞋兔,野兔,雪鞋兔
n02328009	比利时兔,比利时野兔
n02328150	安哥拉,Angora兔
n02328429	鼠兔,老鼠兔,石兔,康尼,兔
n02328820	小队长的兔子,美国鼠兔
n02328942	草原鼠兔,兔collaris
n02329401	啮齿类动物,啮齿动物
n02330245	鼠标
n02331046	老鼠
n02331309	口袋里的老鼠
n02331842	小鼠
n02332156	家鼠,小家鼠
n02332447	收获的老鼠,micromyx蝽
n02332755	地老鼠,FieldMouse
n02332954	裸鼠
n02333190	欧洲木鼠,小林姬鼠
n02333546	褐鼠,挪威鼠,褐家鼠
n02333733	码头鼠
n02333819	下水道的老鼠
n02333909	黑老鼠,屋顶鼠,褐家鼠
n02334201	袋貍鼠,鼹鼠
n02334460	跳鼠鼠
n02334728	袋鼠鼠
n02335127	水老鼠
n02335231	海狸鼠
n02336011	新世界的老鼠
n02336275	美国收获的鼠标,收获的老鼠
n02336641	木鼠
n02336826	白足鼠,晚祷的鼠标,白足鼠
n02337001	鼠鹿,Peromyscus maniculatus
n02337171	仙人掌鼠,Peromyscus eremicus
n02337332	棉鼠,棉鼠
n02337598	侏儒鼠,侏鼠属taylori
n02337902	食蝗鼠
n02338145	麝鼠,麝鼠皮,麝鼠
n02338449	圆尾麝鼠,佛罗里达州水大鼠,圆尾麝鼠属
n02338722	棉鼠,棉鼠
n02338901	木鼠,木鼠
n02339282	黑脚木鼠
n02339376	田鼠,地老鼠
n02339922	之后,组大鼠,贸鼠,bushytail林,丛尾林鼠
n02340186	黑腿林,暗足林鼠
n02340358	东林,Neotoma floridana
n02340640	稻大鼠,米鼠
n02340930	松田鼠,松鼠标,松田鼠属pinetorum
n02341288	草原田鼠,田鼠,pennsylvaticus田鼠
n02341475	水田鼠,理查德森田鼠,田鼠李氏
n02341616	草原田鼠,草原田鼠
n02341974	水田鼠,水老鼠,水鼠
n02342250	红背鼠,红背田鼠
n02342534	树属
n02342885	仓鼠
n02343058	欧亚的仓鼠,原仓鼠
n02343320	金黄地鼠,叙利亚仓鼠,金仓鼠
n02343772	沙鼠,沙鼠
n02344175	沙鼠
n02344270	柽柳沙鼠,长爪沙鼠
n02344408	砂鼠,长longifrons
n02344528	旅鼠
n02344918	欧洲的旅鼠,旅鼠
n02345078	棕色旅鼠,旅鼠
n02345340	灰色的旅鼠,灰色的旅鼠,红背旅鼠
n02345600	杂色的旅鼠
n02345774	哈德逊湾领旅鼠,赫德森Dicrostonyx
n02345997	南泽旅鼠,南泽旅鼠
n02346170	北泽旅鼠,Synaptomys北极光
n02346627	豪猪,刺猬
n02346998	旧大陆豪猪
n02347274	丛尾豪猪,刷尾豪猪
n02347573	长尾豪猪,lipura长尾豪猪属
n02347744	新大陆豪猪
n02348173	加拿大豪猪,北美豪猪
n02348788	口袋里的老鼠
n02349205	柔滑的袖珍鼠标,小囊鼠属黄
n02349390	平原囊鼠,Perognathus苦参
n02349557	具糙硬毛的袖珍鼠标,小囊鼠属鼠
n02349847	墨西哥口袋鼠标,Liomys irroratus
n02350105	袋鼠大鼠,沙漠之鼠,更格卢鼠phillipsii
n02350357	ORD袋鼠大鼠,更格卢鼠常
n02350670	袋鼠鼠,矮人口袋鼠
n02350989	跳跳鼠
n02351343	草原跳鼠,Zapus hudsonius
n02351870	跳鼠
n02352002	典型的跳鼠
n02352290	突尼斯非洲跳鼠
n02352591	睡鼠
n02352932	卢瓦尔河,榛睡鼠
n02353172	榛睡鼠,榛睡鼠
n02353411	lerot
n02353861	地鼠,口袋地鼠,囊鼠
n02354162	平原囊鼠,平原囊鼠
n02354320	东南部的口袋地鼠,平原pinetis
n02354621	谷口袋地鼠,Thomomys bottae
n02354781	北囊鼠,Thomomys talpoides
n02355227	松鼠
n02355477	树上的松鼠
n02356381	东灰松鼠,灰松鼠,猫鼠,灰松鼠
n02356612	西部灰松鼠,松鼠,灰色的松鼠
n02356798	狐松鼠,东美狐松鼠,黑松鼠
n02356977	黑松鼠
n02357111	红松鼠,猫鼠,松鼠
n02357401	北美红松鼠,云杉松鼠,红松鼠,松鼠hudsonicus,红松鼠
n02357585	chickeree,道格拉斯松鼠,红松鼠直肠子宫陷凹
n02357911	羚羊松鼠,白尾鹿羚羊松鼠,羚羊的花栗鼠,黄鼠leucurus
n02358091	地松鼠,地鼠,欧黄鼠
n02358390	覆盖的地松鼠,金背黄鼠
n02358584	地松鼠,souslik,黄鼠黄鼠
n02358712	金花鼠,理查德森的地松鼠,黄鼠李氏
n02358890	岩松鼠,黄鼠花
n02359047	北極地松鼠,大衣的松鼠,黄鼠帕里岛
n02359324	草原犬鼠,草原土拨鼠
n02359556	黑尾草原犬鼠,土拨鼠
n02359667	白尾草原犬鼠,古氏土拨鼠
n02359915	东部花栗鼠,东部花鼠奇比还是,条纹松鼠,地松鼠,花鼠
n02360282	花栗鼠
n02360480	花鼠,花鼠,花鼠,花鼠,eutamius胭脂鱼,Eutamius芒
n02360781	美洲飞鼠
n02360933	南飞的松鼠,南方鼯鼠
n02361090	北飞的松鼠,北方鼯鼠
n02361337	土拨鼠
n02361587	土拨鼠,土拨鼠,土拨鼠
n02361706	古老的土拨鼠,惠斯勒,吹口哨的土拨鼠,caligata旱獭
n02361850	胆小的土拨鼠,rockchuck,黄腹旱獭
n02362194	亚洲的飞鼠
n02363005	海狸
n02363245	旧世界的海狸,蓖麻纤维
n02363351	新世界海狸,美洲河狸
n02363996	山狸,鼠獭,有一种
n02364520	豚鼠
n02364673	豚鼠,荷兰猪
n02364840	英文,野生豚鼠,天竺鼠
n02365108	玛拉,阿根廷长耳豚鼠
n02365480	水豚,水豚,水豚
n02366002	刺豚鼠,刺豚鼠
n02366301	帕卡,疥虫隧道
n02366579	山帕卡
n02366959	海狸鼠,海狸鼠,海狸鼠
n02367492	龙猫,毛丝鼠
n02367812	山绒鼠,山兔鼠
n02368116	兔鼠,chinchillon,lagostomus大
n02368399	abrocome,灰鼠鼠,大鼠灰鼠
n02368821	鼹鼠
n02369293	鼹鼠
n02369555	砂鼠
n02369680	裸鼹鼠
n02369935	女王,女王的鼹鼠
n02370137	达马拉兰的鼹鼠
n02370525	有蹄类
n02370806	有蹄类动物,有蹄的哺乳动物
n02371344	有爪,有爪动物
n02372140	恐角兽,恐角兽
n02372584	蹄兔,康尼,兔,蹄兔,DAS
n02372952	蹄兔,石兔,蹄兔
n02373336	奇蹄目,奇蹄类,奇蹄哺乳动物
n02374149	马,马科动物
n02374451	马,马
n02375302	罗恩
n02375438	一,稳定的伴侣
n02375757	哎呀哎呀
n02375862	始祖马,黎明马
n02376542	小马驹
n02376679	小母马
n02376791	小马
n02376918	公马
n02377063	ridgeling,单睾丸动物,单睾丸动物,ridgil
n02377181	种马,整个的
n02377291	螺柱,种马
n02377388	马
n02377480	母马,女马
n02377603	传种母马,种马母马
n02377703	鞍的马,骑马,攀登
n02378149	重新安装
n02378299	帕尔弗里
n02378415	战马
n02378541	骑兵的马
n02378625	充电器,骏马
n02378755	骏马
n02378870	烈马
n02378969	乱劈
n02379081	小马牛
n02379183	夸特马
n02379329	摩根
n02379430	田纳西沃克,田纳西走马,行走的马,林行走的马
n02379630	美国骑乘马
n02379743	阿帕卢萨
n02379908	阿拉伯的,阿拉伯的
n02380052	lippizan,利比扎马,利比扎马
n02380335	小马
n02380464	马球
n02380583	野马
n02380745	野马,野马,支气管
n02380875	野马
n02381004	鹿皮
n02381119	crowbait,乌鸦诱饵
n02381261	墩
n02381364	灰色,灰色
n02381460	野马
n02381609	野马,马gomelini
n02381831	野马,Przevalski的马,马野马,马przevalskii
n02382039	原因,印度的小马
n02382132	乱劈
n02382204	乱劈,玉,抱怨,插头
n02382338	耕马,犁的马
n02382437	小马
n02382635	设得兰矮种马
n02382750	威尔士小马
n02382850	埃克斯穆尔
n02382948	赛马,赛马,赛马用的马
n02383231	良种
n02384741	障碍赛跑运动员
n02384858	赛车
n02385002	终结者
n02385098	小马
n02385214	一岁
n02385580	黑马
n02385676	Mudder
n02385776	不可取
n02385898	跟踪马
n02386014	马具的马
n02386141	圆面包
n02386224	哈克尼
n02386310	主力
n02386496	马吃水,拉车的马,运货马车的马
n02386746	驮马
n02386853	carthorse,拉车的马,drayhorse
n02386968	克莱兹代尔
n02387093	马尔佩
n02387254	农场的马,都宾
n02387346	夏尔,夏尔马
n02387452	极的马,撑船人
n02387722	驿马,驿马,海报
n02387887	教练马
n02387983	起搏器
n02388143	起搏器,心脏起搏器,标兵
n02388276	快步马,猪蹄
n02388453	极的马
n02388588	步进,高进
n02388735	板栗
n02388832	肝栗
n02388917	海湾
n02389026	酢浆草
n02389128	帕洛米诺
n02389261	平托
n02389346	屁股
n02389559	国内的驴,驴,野驴
n02389779	驴子
n02389865	采购产品
n02389943	杰克,公驴
n02390015	詹妮特,珍妮,珍妮的屁股
n02390101	骡子
n02390258	驴骡
n02390454	野驴
n02390640	非洲野驴,野驴
n02390738	野驴,藏野驴
n02390834	弩炮,野驴
n02390938	野驴,骞驴,蒙古野驴
n02391049	斑马
n02391234	普通斑马,伯切尔的斑马,普通斑马
n02391373	山斑马,海角山斑马
n02391508	细纹斑马,细纹斑马
n02391617	斑驴,平原斑马
n02391994	犀牛,犀牛
n02392434	印度犀牛,印度犀
n02392555	毛茸茸的犀牛,披毛犀
n02392824	白犀,白犀,白犀
n02393161	黑犀牛,黑犀
n02393580	貘
n02393807	新世界貘,南美貘
n02393940	Malayan貘,印度貘,马来貘
n02394477	偶蹄目,偶蹄动物,偶蹄哺乳动物
n02395003	猪
n02395406	猪,猪,石鲈,告密者,野猪
n02395694	仔猪,小猪,小猪,小猪
n02395855	乳猪
n02395931	小猪
n02396014	野猪
n02396088	播种
n02396157	剃刀鲸,剃刀鲸猪,razorbacked猪
n02396427	野猪,野猪,野猪
n02396796	鹿豚,野猪,野猪,鹿豚
n02397096	疣猪
n02397529	野猪,麝香猪
n02397744	领野猪,野猪,Tayassu皮藤,Tayassu tajacu,peccari皮藤
n02397987	白唇野猪,白唇野猪
n02398521	河马,河马,河里的马,河马
n02399000	反刍动物
n02401031	牛
n02402010	牛
n02402175	公牛,野牛
n02402425	牛,奶牛,母牛,牛,牛
n02403003	公牛
n02403153	牛犊
n02403231	布洛克,引导
n02403325	公牛
n02403454	奶牛,牛
n02403740	小母牛
n02403820	布洛克
n02403920	小牛,科学,无母的小牛
n02404028	特立独行
n02404186	牛肉,肉牛
n02404432	长角牛,德克萨斯长角牛
n02404573	婆罗门,梵天,婆罗门,瘤牛
n02404906	瘤牛
n02405101	欧洲野牛,野牛,水牛
n02405302	牦牛,牦牛
n02405440	爪哇禾雀,班廷,tsine,斑腾牛
n02405577	威尔士的,威尔士黑
n02405692	红色的民意调查
n02405799	Santa Gertrudis
n02405929	阿伯丁安古斯,安古斯,黑安古斯
n02406046	南非瘤牛
n02406174	奶牛,奶牛,奶牛,奶牛,产乳动物,挤奶器
n02406432	艾尔郡
n02406533	瑞士褐
n02406647	夏洛莱
n02406749	泽西
n02406859	德文
n02406952	等级
n02407071	达勒姆,短角牛
n02407172	短角牛
n02407276	加洛韦
n02407390	黑白花,荷斯坦牛,荷斯坦·弗里斯牛
n02407521	根西岛
n02407625	赫里福德,白脸
n02407763	杂种牛,皮弗娄牛
n02407959	旧世界的水牛,水牛
n02408429	水牛,水牛,亚洲水牛,水牛
n02408660	印度水牛
n02408817	水牛
n02409038	倭水牛,矮水牛,倭水牛
n02409202	黑牛,黑牛,民都洛水牛,棉兰老水牛
n02409508	非洲水牛,synercus caffer
n02409870	亚洲野牛
n02410011	野牛,大额牛
n02410141	大额牛,大额牛,大额牛
n02410509	野牛
n02410702	美洲野牛,美国水牛,水牛,美洲野牛
n02410900	欧洲野牛,欧洲野牛,欧洲野牛
n02411206	麝香牛,麝香羊,麝牛
n02411705	羊
n02411999	母羊
n02412080	猛撞,TUP
n02412210	无论
n02412440	羔羊
n02412629	乖乖
n02412700	咩咩羊
n02412787	猪,幼年,霍格
n02412909	TEG
n02412977	波斯的小羊
n02413050	黑羊
n02413131	国内羊,绵羊
n02413484	科茨沃尔德
n02413593	新罕布什尔州,汉普郡下
n02413717	林肯
n02413824	埃克斯穆尔
n02413917	切维厄特
n02414043	阔嘴,卡拉库尔羔皮,卡拉库尔羊
n02414209	长毛羊
n02414290	美利奴羊,美利奴羊
n02414442	朗布依埃
n02414578	野羊
n02414763	盘羊,盘羊,盘羊
n02414904	马可波罗羊,马可波罗的羊,绵羊政策
n02415130	盘羊,赤羊
n02415253	白大角羊,Dall的羊,白色的羊,蒙大纳达利的绵羊
n02415435	山羊皮
n02415577	大角,大角羊,西马隆,落基山大角羊,石山羊,大角羊
n02415829	欧洲盘羊,欧洲盘羊,摩弗伦羊
n02416104	鬣羊,阿瑞,大角野绵羊,蛮羊,鬃羊,蛮羊
n02416519	山羊,山羊的动物
n02416820	小孩
n02416880	比利,比利的山羊,公山羊
n02416964	保姆,母山羊,母羊
n02417070	驯化山羊,山羊
n02417242	绒山羊,喀什米尔山羊
n02417387	安哥拉,Angora山羊
n02417534	野山羊
n02417663	牛黄山羊,帕桑,野山羊
n02417785	捻角山羊,捻角山羊,捻角山羊
n02417914	山羊,北山羊
n02418064	山羚羊
n02418465	山羊,石山羊,石山羊
n02418770	斑羚,斑羚
n02419056	鬣羚
n02419336	麂皮,岩羚羊
n02419634	羚牛,GNU的山羊,羚牛
n02419796	羚羊
n02420509	不管,印度羚,印度羚
n02420828	长颈羚,长颈羚
n02421136	Addax,旋角羚
n02421449	GNU,角马
n02421792	犬羚
n02422106	狷羚
n02422391	南非大羚羊,托皮,转角牛羚
n02422699	黑斑羚,黑斑羚
n02423022	瞪羚
n02423218	汤姆逊瞪羚,Gazella thomsoni
n02423362	鹅喉羚
n02423589	跳羚,跳羚,跳羚,跳羚euchore
n02424085	邦戈,Tragelaphus eurycerus,羚羊eurycerus
n02424305	捻角羚,弯角羚,库杜河
n02424486	大旋角羚,扭角林羚
n02424589	捻角羚,南非大imberbis
n02424695	薮羚
n02424909	尼亚拉,南非大angasi
n02425086	山薮羚,山地羚
n02425228	羚羊,GUIB,薮羚
n02425532	羚羊,印度大羚羊,大羚羊,蓝牛,Boselaphus tragocamelus
n02425887	黑貂羚羊,黑马羚
n02426176	赛加羚羊,赛加羚羊
n02426481	小岩羚,小羚羊,小岩羚
n02426813	大羚羊
n02427032	大角斑羚,大羚羊
n02427183	大羚羊,大羚羊
n02427470	Kob,水羚
n02427576	驴羚,驴羚
n02427724	羚羊
n02428089	普库,adenota vardoni
n02428349	羚羊,帕桑
n02428508	大羚羊,大羚羊,长角羚
n02428842	森林的山羊,轴角,中南大羚
n02429456	叉角羚,prongbuck,叉角羚羊,美洲羚羊,叉角羚
n02430045	鹿,鹿
n02430559	雄鹿
n02430643	皇家的,皇家雄鹿
n02430748	烛台
n02430830	小鹿
n02431122	红鹿,麋鹿,美洲赤鹿,马鹿,马鹿
n02431337	雄鹿,雄鹿
n02431441	后面的
n02431542	角
n02431628	水鹿,黑鹿,水鹿
n02431785	马鹿,麋鹿,美洲赤鹿,加拿大马鹿
n02431976	日本鹿,梅花鹿,Cervus日本,花鹿
n02432291	Virginia鹿,白色的尾巴,白尾鹿,白尾鹿,白尾鹿,白尾鹿
n02432511	骡鹿,驴鹿,黑尾鹿
n02432704	黑尾鹿,黑尾鹿,黑尾,Odocoileus蒙古野驴columbianus
n02432983	麋鹿,欧洲驼鹿,驼鹿,驼鹿
n02433318	小鹿,黇鹿
n02433546	狍,狍
n02433729	罗巴克
n02433925	驯鹿,驯鹿,格陵兰驯鹿,驯鹿
n02434190	北美驯鹿,驯鹿驯鹿
n02434415	北美驯鹿,北极驯鹿
n02434712	角
n02434954	麂,吠鹿
n02435216	麝香鹿,麝香鹿
n02435517	戴维神甫的鹿,elaphure,麋鹿
n02435853	鼷鹿,鼠鹿
n02436224	鹿,小鼷鹿
n02436353	南堡,小鼷鹿
n02436645	水鼷鹿,水的鹿,水鼷鹿
n02437136	骆驼
n02437312	阿拉伯骆驼,单峰骆驼,单峰驼
n02437482	双峰驼,双峰驼
n02437616	美洲驼
n02437971	国内的骆驼,喇嘛秘鲁
n02438173	原驼,原驼
n02438272	羊驼,羊驼
